 ; Genus ; Innovus ; Genus ; Innovus ; Genus ; ; Innovus ; ; Genus ; Innovus 
Design ; Data Path (ps) ; Arrival (ps); Freq (MHz) ; Freq (MHz) ;  Cell Area ; Total Area ; Cell Area ; Total Area ; Total Power(uW); Total Power(uW)
CLA ;1445 ; 1525.000 ; 692.04152249134948000000 ; 655.73770491803278688000 ; 3737.334 ; 6428.834 ; 3952.541 ; 5367.648 ; 460,26100000000002410161 ; 425.43192000000000000000
RCA ;1390 ; 1526.000 ; 719.42446043165467000000 ; 655.30799475753604193000 ; 4869.670 ; 8950.429 ; 5436.464 ; 6975.440 ; 697,77599999999995361577 ; 744.44537000000000000000
Kogge-Stone ;1390 ; 1504.000 ; 719.42446043165467000000 ; 664.89361702127659574000 ; 4337.910 ; 7837.382 ; 5083.626 ; 6200.947 ; 506,22899999999998499334 ; 521.40388000000000000000
Brent-Kung ;1390 ; 1492.000 ; 719.42446043165467000000 ; 670.24128686327077747000 ; 4813.366 ; 7493.292 ; 4684.493 ; 6906.624 ; 539,58399999999994633981 ; 467.46651000000000000000
Sklansky ;1390 ; 1469.000 ; 719.42446043165467000000 ; 680.73519400953029271000 ; 4077.661 ; 6637.065 ; 4718.275 ; 5850.611 ; 465,76099999999996725819 ; 461.15218000000000000000
Ladner-Fischer ;1390 ; 1435.000 ; 719.42446043165467000000 ; 696.86411149825783972000 ; 3697.296 ; 6386.185 ; 4371.693 ; 5301.334 ; 442,72400000000004638423 ; 443.63658000000000000000
Han-Carlson ;1390 ; 1469.000 ; 719.42446043165467000000 ; 680.73519400953029271000 ; 3811.155 ; 6592.197 ; 4478.045 ; 5472.749 ; 455,99200000000001864464 ; 457.97919000000000000000
Signal ;1390 ; 1390.000 ; 719.42446043165467000000 ; 719.42446043165467625000 ; 2747.635 ; 5267.185 ; 2802.688 ; 3942.531 ; 415,29000000000002046363 ; 393.83424000000000000000
CSkA8 ;1390 ; 1526.000 ; 719.42446043165467000000 ; 655.30799475753604193000 ; 4869.670 ; 8950.429 ; 5436.464 ; 6975.440 ; 697,77599999999995361577 ; 744.44537000000000000000
CIA ;1390 ; 1537.000 ; 719.42446043165467000000 ; 650.61808718282368249000 ; 6397.386 ; 10552.719 ; 6374.864 ; 9152.528 ; 814,48599999999998999556 ; 768.03243000000000000000
CSkA4 ;1390 ; 1526.000 ; 719.42446043165467000000 ; 655.30799475753604193000 ; 4869.670 ; 8950.429 ; 5436.464 ; 6975.440 ; 697,77599999999995361577 ; 744.44537000000000000000
CSLA8888 ;1390 ; 1391.000 ; 719.42446043165467000000 ; 718.90726096333572969000 ; 2727.616 ; 4830.866 ; 2818.954 ; 3908.749 ; 422,27699999999998681233 ; 391.16161000000000000000
CSLA56678 ;1390 ; 1434.000 ; 719.42446043165467000000 ; 697.35006973500697350000 ; 2999.126 ; 5121.434 ; 3116.739 ; 4290.365 ; 478,11099999999998999556 ; 446.48425000000000000000
CSLA66668 ;1390 ; 1435.000 ; 719.42446043165467000000 ; 696.86411149825783972000 ; 2795.181 ; 4786.612 ; 3195.565 ; 4000.086 ; 429,01699999999999590727 ; 431.96762000000000000000
