 ; Genus ; Genus ; Innovus ; Genus ; Innovus ; Genus ; ; ; Innovus ; ; ; ; Genus ; ; ; ; Innovus ; ; ; ;
Design ; Slack (ps) ; Data Path (ps) ; Arrival (ps); Freq (MHz) ; Freq (MHz) ; Cell Count ; Cell Area ; Total Area ; Cell Count ; Cell Area ; Total Cell Count ; Total Area ; Power Unit ; Power Mult ; Total Power; Total Power(uW); Power Unit ; Power Mult ; Total Power ; Total Power(uW)
CLA ;203 ; 13497 ; 13610.000 ; 74.09053863821589000000 ; 73.47538574577516531000 ; 32 ; 640.614 ; 1078.407 ; 32 ; 640.614 ; 80 ; 922.134 ; W ; 0 ; 2.03675e-04 ; 203,67500000000001136868 ; 1mW ; -3 ; 0.19105782 ; 191.05782000000000000000
RCA ;203 ; 13497 ; 13610.000 ; 74.09053863821589000000 ; 73.47538574577516531000 ; 32 ; 640.614 ; 1078.407 ; 32 ; 640.614 ; 79 ; 922.134 ; W ; 0 ; 2.03675e-04 ; 203,67500000000001136868 ; 1mW ; -3 ; 0.19107670 ; 191.07670000000000000000
Kogge-Stone ;5134 ; 8566 ; 8591.000 ; 116.74060238150828000000 ; 116.40088464672331509000 ; 109 ; 1049.757 ; 1931.782 ; 109 ; 1049.757 ; 222 ; 1506.445 ; W ; 0 ; 2.25100e-04 ; 225,09999999999999431566 ; 1mW ; -3 ; 0.21553353 ; 215.53353000000000000000
Brent-Kung ;203 ; 13497 ; 13606.000 ; 74.09053863821589000000 ; 73.49698662354843451000 ; 32 ; 640.614 ; 1078.407 ; 32 ; 640.614 ; 80 ; 922.134 ; W ; 0 ; 2.03675e-04 ; 203,67500000000001136868 ; 1mW ; -3 ; 0.19109551 ; 191.09551000000000000000
Sklansky ;8651 ; 5049 ; 5091.000 ; 198.05902158843335000000 ; 196.42506383814574739000 ; 148 ; 1238.688 ; 2278.566 ; 148 ; 1238.688 ; 268 ; 1782.960 ; W ; 0 ; 2.35343e-04 ; 235,34299999999998931344 ; 1mW ; -3 ; 0.21735646 ; 217.35646000000000000000
Ladner-Fischer ;9832 ; 3868 ; 3954.000 ; 258.53154084798345000000 ; 252.90844714213454729000 ; 146 ; 1222.422 ; 2298.152 ; 146 ; 1222.422 ; 276 ; 1764.192 ; W ; 0 ; 2.36629e-04 ; 236,62899999999999067768 ; 1mW ; -3 ; 0.22776439 ; 227.76439000000000000000
Han-Carlson ;3000 ; 10700 ; 10818.000 ; 93.45794392523364000000 ; 92.43852837862821223000 ; 74 ; 839.555 ; 1511.429 ; 74 ; 839.555 ; 155 ; 1201.152 ; W ; 0 ; 2.17429e-04 ; 217,42900000000000204636 ; 1mW ; -3 ; 0.20724861 ; 207.24861000000000000000
Signal ;3696 ; 10004 ; 10033.000 ; 99.96001599360255000000 ; 99.67108541812020332000 ; 95 ; 823.290 ; 1566.345 ; 95 ; 823.290 ; 178 ; 1186.138 ; W ; 0 ; 2.27434e-04 ; 227,43399999999999749889 ; 1mW ; -3 ; 0.21387214 ; 213.87214000000000000000
CSkA8 ;203 ; 13497 ; 13610.000 ; 74.09053863821589000000 ; 73.47538574577516531000 ; 32 ; 640.614 ; 1078.407 ; 32 ; 640.614 ; 79 ; 922.134 ; W ; 0 ; 2.03675e-04 ; 203,67500000000001136868 ; 1mW ; -3 ; 0.19107670 ; 191.07670000000000000000
CIA ;3908 ; 9792 ; 9807.000 ; 102.12418300653594000000 ; 101.96798205363515856000 ; 81 ; 1043.501 ; 1777.332 ; 81 ; 1043.501 ; 178 ; 1506.445 ; W ; 0 ; 2.02180e-04 ; 202,17999999999997839950 ; 1mW ; -3 ; 0.19041080 ; 190.41080000000000000000
CSkA4 ;203 ; 13497 ; 13610.000 ; 74.09053863821589000000 ; 73.47538574577516531000 ; 32 ; 640.614 ; 1078.407 ; 32 ; 640.614 ; 79 ; 922.134 ; W ; 0 ; 2.03675e-04 ; 203,67500000000001136868 ; 1mW ; -3 ; 0.19107670 ; 191.07670000000000000000
CSLA8888 ;4921 ; 8779 ; 8935.000 ; 113.90818999886091000000 ; 111.91941801902630106000 ; 126 ; 1058.515 ; 1981.091 ; 126 ; 1058.515 ; 237 ; 1523.962 ; W ; 0 ; 2.67743e-04 ; 267,74299999999999499778 ; 1mW ; -3 ; 0.25495258 ; 254.95258000000000000000
CSLA56678 ;4553 ; 9147 ; 9330.000 ; 109.32546190007652000000 ; 107.18113612004287245000 ; 128 ; 1068.525 ; 1993.015 ; 128 ; 1068.525 ; 229 ; 1541.478 ; W ; 0 ; 2.60887e-04 ; 260,88700000000000045475 ; 1mW ; -3 ; 0.24765030 ; 247.65030000000000000000
CSLA66668 ;999 ; 12701 ; 12955.000 ; 78.73395795606645000000 ; 77.19027402547279042000 ; 131 ; 1194.896 ; 2221.547 ; 131 ; 1194.896 ; 262 ; 1707.888 ; W ; 0 ; 2.41751e-04 ; 241,75100000000000477485 ; 1mW ; -3 ; 0.22784446 ; 227.84446000000000000000
